#group,false,false,false,false,false,false,false
#datatype,string,double,double,string,double,dateTime:RFC3339,double
#default,,,,,,,
,SSID,core,core2,device,pipe,time,water
,Ståle  sin iPhone,32,30,ESP32-C6,-42,2025-03-11T15:48:52.718293694Z,36.5
,Ståle  sin iPhone,32.5,30,ESP32-C6,-42,2025-03-11T15:48:55.053210193Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42,2025-03-11T15:48:57.33562704Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:48:59.769642584Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:02.021663744Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:04.272999593Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:06.538585843Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:08.780133967Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:11.032813876Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:13.373251498Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:15.650976397Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:17.900141782Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:20.353323309Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:22.603133175Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:24.969961136Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:27.212516944Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:29.469469304Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:31.838093862Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:34.295650431Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:36.648414648Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:49:39.00807813Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:41.350819053Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:43.605778091Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:45.875579053Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:48.209638369Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:50.480666788Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:52.919951869Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:55.288230217Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:49:57.848507714Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:50:00.199211459Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-43,2025-03-11T15:50:02.550906793Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42.5,2025-03-11T15:50:04.84612003Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-42,2025-03-11T15:50:07.152818579Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-41.5,2025-03-11T15:50:09.511057672Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-40,2025-03-11T15:50:11.767947101Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-39,2025-03-11T15:50:14.01513612Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-38,2025-03-11T15:50:16.280521854Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-37,2025-03-11T15:50:21.692588736Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-34,2025-03-11T15:50:23.942559007Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-33.5,2025-03-11T15:50:26.208430829Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-32.5,2025-03-11T15:50:28.458865688Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-32,2025-03-11T15:50:30.818490403Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-31,2025-03-11T15:50:33.059477659Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-30.5,2025-03-11T15:50:35.413874361Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-30,2025-03-11T15:50:37.669570549Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-29.5,2025-03-11T15:50:40.013900077Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-29,2025-03-11T15:50:42.372705893Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-28.5,2025-03-11T15:50:44.731811493Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-28,2025-03-11T15:50:46.998110128Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-27.5,2025-03-11T15:50:49.239608905Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-27,2025-03-11T15:50:51.483682355Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-27,2025-03-11T15:50:53.858820941Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-26.5,2025-03-11T15:50:56.10008789Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-26,2025-03-11T15:50:58.343037552Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-25.5,2025-03-11T15:51:00.617747372Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-25.5,2025-03-11T15:51:02.95171241Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-25,2025-03-11T15:51:05.213716152Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-24.5,2025-03-11T15:51:07.677797732Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-24.5,2025-03-11T15:51:09.930227089Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-24,2025-03-11T15:51:12.203688112Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-24,2025-03-11T15:51:14.639897328Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-23.5,2025-03-11T15:51:16.990218272Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-23.5,2025-03-11T15:51:19.343823065Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-23,2025-03-11T15:51:21.703243807Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-23,2025-03-11T15:51:26.721476688Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-22.5,2025-03-11T15:51:29.079352355Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-22,2025-03-11T15:51:31.330233913Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-22,2025-03-11T15:51:33.587850949Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-21.5,2025-03-11T15:51:35.823117318Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-21.5,2025-03-11T15:51:38.090575726Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-21.5,2025-03-11T15:51:40.449281819Z,36.5
,Ståle  sin iPhone,31.5,30,ESP32-C6,-21,2025-03-11T15:51:42.684229345Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-21,2025-03-11T15:51:45.057469791Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-21,2025-03-11T15:51:47.308464786Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-20.5,2025-03-11T15:51:49.544517983Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-20.5,2025-03-11T15:51:51.803935994Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-20.5,2025-03-11T15:51:54.052568233Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-20,2025-03-11T15:51:56.316423033Z,36.5
,Ståle  sin iPhone,31.5,30,ESP32-C6,-20,2025-03-11T15:51:58.662900286Z,36.5
,Ståle  sin iPhone,32,30,ESP32-C6,-20,2025-03-11T15:52:00.925951129Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-19.5,2025-03-11T15:52:03.280532903Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-19.5,2025-03-11T15:52:05.539202858Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-19.5,2025-03-11T15:52:07.780267045Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-19.5,2025-03-11T15:52:10.035196251Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-19,2025-03-11T15:52:12.289903211Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-19,2025-03-11T15:52:14.548669985Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-19,2025-03-11T15:52:16.787088728Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-19,2025-03-11T15:52:19.143664407Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-18.5,2025-03-11T15:52:21.407648904Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-18.5,2025-03-11T15:52:23.643576028Z,36.5
,Ståle  sin iPhone,32,30.5,ESP32-C6,-18.5,2025-03-11T15:52:26.010652274Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-18.5,2025-03-11T15:52:28.353299182Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-18.5,2025-03-11T15:52:30.686779537Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-18,2025-03-11T15:52:32.97929154Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-18,2025-03-11T15:52:35.338473542Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-18,2025-03-11T15:52:40.644049545Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17.5,2025-03-11T15:52:43.009657954Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17.5,2025-03-11T15:52:45.260143921Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17.5,2025-03-11T15:52:47.51137074Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17.5,2025-03-11T15:52:49.769821146Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17.5,2025-03-11T15:52:52.012702729Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:52:54.472920302Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:52:56.731564703Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:52:58.979874275Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:53:01.341556302Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:53:03.599001097Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:53:06.058716827Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:53:08.292941236Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-17,2025-03-11T15:53:10.561708989Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:12.809544119Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:15.062180733Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:17.311930098Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:19.672741011Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:21.928679359Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:24.164208996Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:26.531637393Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16.5,2025-03-11T15:53:31.5303052Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:33.808490282Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:39.140064007Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:41.472888112Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:43.731061434Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:45.983821934Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:48.23222748Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:50.491289568Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:52.865562228Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:53:55.308535154Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:53:57.661651632Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:53:59.903947305Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:02.369756598Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:04.635954191Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:06.988610508Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:09.329833799Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:11.572461398Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:13.948329407Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:16.40080065Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:18.651086549Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:20.908587951Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:23.158688099Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:25.517689301Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:27.870516596Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:30.121368298Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:32.388410124Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:34.720982754Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:36.996190185Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:39.348320027Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:41.893723985Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:44.250698591Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:46.602647423Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:48.853838024Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:51.10997616Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15,2025-03-11T15:54:53.472245865Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15,2025-03-11T15:54:55.828402789Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:54:58.077518864Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:00.32531088Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15,2025-03-11T15:55:02.588545515Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:04.83062672Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15,2025-03-11T15:55:07.197836814Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15,2025-03-11T15:55:09.43098592Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:11.909141083Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:14.257553031Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:16.509944764Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15,2025-03-11T15:55:18.760328535Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:21.010186894Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:23.470038165Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:25.821714074Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15,2025-03-11T15:55:28.201167187Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:30.54294653Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:32.791579682Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:35.041179417Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:37.306315692Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:39.653245282Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:41.993199877Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:44.269555631Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:46.609911326Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:48.977703705Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:51.321157504Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:53.573450005Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:55.932142599Z,36.5
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:55:58.482882049Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:00.842558978Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:03.215518803Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:05.569907455Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:08.021886278Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:10.242759977Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:12.527984037Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:14.768014229Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:17.028635086Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:19.288553434Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:21.63825567Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:23.88045771Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-15.5,2025-03-11T15:56:26.148339515Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:56:28.489813531Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:56:30.850367256Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:56:33.207946144Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:56:35.461910626Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:56:37.703016957Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:56:39.959474144Z,36
,Ståle  sin iPhone,31.5,30.5,ESP32-C6,-16,2025-03-11T15:56:42.218253692Z,36
,Ståle  sin iPhone,31.5,30,ESP32-C6,-16,2025-03-11T15:56:44.577800522Z,36
,Ståle  sin iPhone,31.5,30,ESP32-C6,-16,2025-03-11T15:56:46.82873735Z,36
,Ståle  sin iPhone,31.5,30,ESP32-C6,-16,2025-03-11T15:56:49.180698473Z,36
,Ståle  sin iPhone,31.5,29.5,ESP32-C6,-16,2025-03-11T15:56:51.530753118Z,36
,Ståle  sin iPhone,31.5,29.5,ESP32-C6,-16,2025-03-11T15:56:53.789766299Z,36
,Ståle  sin iPhone,31.5,29.5,ESP32-C6,-16,2025-03-11T15:56:56.040948033Z,36
,Ståle  sin iPhone,31.5,29.5,ESP32-C6,-16,2025-03-11T15:56:58.298472475Z,36
,Ståle  sin iPhone,31.5,29,ESP32-C6,-16,2025-03-11T15:57:00.549064747Z,36
,Ståle  sin iPhone,31.5,29,ESP32-C6,-16,2025-03-11T15:57:02.792498837Z,36
,Ståle  sin iPhone,31.5,29,ESP32-C6,-16.5,2025-03-11T15:57:05.250055485Z,36
,Ståle  sin iPhone,31.5,29,ESP32-C6,-16.5,2025-03-11T15:57:07.617922899Z,36
,Ståle  sin iPhone,31.5,28.5,ESP32-C6,-16.5,2025-03-11T15:57:09.881226229Z,36
,Ståle  sin iPhone,31.5,28.5,ESP32-C6,-16.5,2025-03-11T15:57:12.32920641Z,36
,Ståle  sin iPhone,31.5,28.5,ESP32-C6,-16.5,2025-03-11T15:57:14.570826768Z,36
